Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;02 Aragón;7;2006;1.624,7
Total;02 Aragón;8;2024;2.918,4
Total;02 Aragón;8;2023;2.762,5
Total;02 Aragón;8;2022;2.586,5
Total;02 Aragón;8;2021;2.528,1
Total;02 Aragón;8;2020;2.528,3
Total;02 Aragón;8;2019;2.468,4
Total;02 Aragón;8;2018;2.412,4
Total;02 Aragón;8;2017;2.380,7
Total;02 Aragón;8;2016;2.354,2
Total;02 Aragón;8;2015;2.352,9
Total;02 Aragón;8;2014;2.396,2
Total;02 Aragón;8;2013;2.365,8
Total;02 Aragón;8;2012;2.301,0
Total;02 Aragón;8;2011;2.293,8
Total;02 Aragón;8;2010;2.283,9
Total;02 Aragón;8;2009;2.220,7
Total;02 Aragón;8;2008;2.127,1
Total;02 Aragón;8;2007;2.051,0
Total;02 Aragón;8;2006;1.968,6
Total;02 Aragón;9;2024;3.549,3
Total;02 Aragón;9;2023;3.355,7
Total;02 Aragón;9;2022;3.158,6
Total;02 Aragón;9;2021;3.147,3
Total;02 Aragón;9;2020;3.138,6
Total;02 Aragón;9;2019;2.997,0
Total;02 Aragón;9;2018;2.982,0
Total;02 Aragón;9;2017;2.952,3
Total;02 Aragón;9;2016;2.896,9
Total;02 Aragón;9;2015;2.964,5
Total;02 Aragón;9;2014;2.931,3
Total;02 Aragón;9;2013;2.910,2
Total;02 Aragón;9;2012;2.861,5
Total;02 Aragón;9;2011;2.853,8
Total;02 Aragón;9;2010;2.843,0
Total;02 Aragón;9;2009;2.810,4
Total;02 Aragón;9;2008;2.648,0
Total;02 Aragón;9;2007;2.566,0
Total;02 Aragón;9;2006;2.432,5
Total;02 Aragón;10;2024;5.662,1
Total;02 Aragón;10;2023;5.272,5
Total;02 Aragón;10;2022;5.113,8
Total;02 Aragón;10;2021;5.074,2
Total;02 Aragón;10;2020;5.054,8
Total;02 Aragón;10;2019;4.483,2
Total;02 Aragón;10;2018;4.736,3
Total;02 Aragón;10;2017;4.640,1
Total;02 Aragón;10;2016;4.480,0
Total;02 Aragón;10;2015;4.613,8
Total;02 Aragón;10;2014;4.579,4
Total;02 Aragón;10;2013;4.492,6
Total;02 Aragón;10;2012;4.415,5
Total;02 Aragón;10;2011;4.512,3
Total;02 Aragón;10;2010;4.466,4
Total;02 Aragón;10;2009;4.360,0
Total;02 Aragón;10;2008;4.355,4
Total;02 Aragón;10;2007;3.667,1
Total;02 Aragón;10;2006;3.545,1
Total;03 Asturias, Principado de;Total;2024;2.319,8
Total;03 Asturias, Principado de;Total;2023;2.228,5
Total;03 Asturias, Principado de;Total;2022;2.096,7
Total;03 Asturias, Principado de;Total;2021;2.083,6
Total;03 Asturias, Principado de;Total;2020;2.161,5
Total;03 Asturias, Principado de;Total;2019;2.078,3
Total;03 Asturias, Principado de;Total;2018;1.977,1
Total;03 Asturias, Principado de;Total;2017;1.958,3
Total;03 Asturias, Principado de;Total;2016;1.957,3
Total;03 Asturias, Principado de;Total;2015;1.957,3
Total;03 Asturias, Principado de;Total;2014;1.907,8
Total;03 Asturias, Principado de;Total;2013;1.956,6
Total;03 Asturias, Principado de;Total;2012;1.908,3
